rule,style,score,pos,t_trades,t_win_rate,t_avg_return,t_median_return,t_total_compound,t_best,t_worst,m_months,m_avg_month_pct,m_median_month_pct,m_pct_months_ge_20,m_pct_months_gt_0,m_best_month_pct,m_worst_month_pct,m_months_ge_20
FMR_mfi14<30_pb<=0.0_none_none_h3_mid0_s0.07,mean_rev,14.88,2,528,57.765151515151516,1.8335294375076268,1.8739467005386756,1047.3553546640464,100.0,-50.0,89,2.54,1.68,2.2,64.0,41.48,-12.75,2
FMR_mfi13<20_pb<=0.15_none_none_h2_mid0_s0.1,mean_rev,14.82,1,649,55.31587057010786,0.8560627898248845,1.0218969902692665,-37.94059199480833,52.02862392997885,-50.0,89,2.58,3.14,5.6,59.6,47.26,-24.71,5
FMR_mfi13<20_pb<=0.15_none_none_h2_mid1_s0.1,mean_rev,14.82,1,649,55.31587057010786,0.8560627898248845,1.0218969902692665,-37.94059199480833,52.02862392997885,-50.0,89,2.58,3.14,5.6,59.6,47.26,-24.71,5
FMR_mfi13<25_pb<=0.25_none_none_h4_mid0_s0.1,mean_rev,14.78,2,1297,54.89591364687742,2.2994115062774907,1.324503311258285,294383484.41472435,100.0,-50.0,90,2.32,2.87,2.2,61.1,42.9,-21.21,2
FMR_mfi13<30_pb<=0.15_none_none_h4_mid0_s0.07,mean_rev,14.76,1,1398,55.43633762517882,2.906063469879592,1.5795046930527246,971910365825.0535,100.0,-50.0,91,3.33,2.16,7.7,59.3,39.82,-19.62,7
FMR_mfi14<20_pb<=0.15_none_none_h2_mid0_s0.07,mean_rev,14.7,2,509,58.153241650294696,1.5601736050635766,1.3157843634475253,2497.79474864197,57.0491668276303,-50.0,89,2.63,1.87,4.5,61.8,31.44,-15.16,4
FMR_mfi14<20_pb<=0.15_none_none_h2_mid1_s0.07,mean_rev,14.7,2,509,58.153241650294696,1.5601736050635766,1.3157843634475253,2497.79474864197,57.0491668276303,-50.0,89,2.63,1.87,4.5,61.8,31.44,-15.16,4
FMR_mfi13<30_pb<=0.25_none_none_h3_mid1_s0.1,mean_rev,14.69,2,1833,55.373704309874526,1.8446941157020538,1.155026356963651,1344561522.8179953,100.0,-50.0,91,2.62,2.86,8.8,61.5,35.58,-23.76,8
FMR_mfi13<20_pb<=0.15_none_none_h3_mid1_s0.1,mean_rev,14.64,2,642,57.3208722741433,1.313956307026363,1.4551398695133444,319.854509545662,84.1765391954588,-50.0,89,2.19,2.4,2.2,56.2,33.16,-14.97,2
FSQ_mfi6>=45_brk0_mup1_h2_s0.08,squeeze_break,14.59,2,1749,47.284162378502,1.302226119029163,-0.43955544209519637,4580047.996369348,100.0,-50.0,90,3.77,2.72,12.2,61.1,44.66,-26.34,11
FSQ_mfi6>=45_brk0_mup0_h4_s0.12,squeeze_break,14.58,1,1936,46.590909090909086,1.842699953446982,-0.6755254064208072,2734342683.804897,100.0,-50.0,90,6.07,1.98,13.3,61.1,100.0,-32.5,12
FMR_mfi13<30_pb<=0.15_none_pb_up_h3_mid1_s0.07,mean_rev,14.57,1,546,57.692307692307686,2.807856620437684,1.6221744445943043,5055807.699821838,81.3989239046887,-50.0,89,5.56,1.46,7.9,55.1,140.17,-25.72,7
FSQ_mfi6>=55_brk0_mup1_h4_s0.12,squeeze_break,14.57,2,1693,46.4264619019492,1.9365317267324833,-0.7173537718553891,858294651.2857871,100.0,-50.0,90,3.92,2.33,8.9,57.8,52.48,-21.43,8
FWALK_mfi14>=50_pb>=0.7_mup1_h2,band_walk,14.5,2,3388,49.14403778040142,1.7649173285744384,-0.13063479654524812,2.0709373772482922e+17,100.0,-50.0,91,2.31,3.55,4.4,58.2,34.17,-25.6,4
FMR_mfi13<30_pb<=0.15_none_pb_up_h4_mid1_s0.07,mean_rev,14.46,1,544,60.47794117647059,3.1677087356846703,2.1401703068796185,24788906.17786458,81.3989239046887,-50.0,90,4.38,1.57,6.7,54.4,140.17,-21.07,6
FMR_mfi6<30_pb<=0.25_bw40_none_h4_mid1_s0.07,mean_rev,14.45,1,1344,54.389880952380956,1.2499103005187682,1.0104564816442063,111055.02109623015,100.0,-50.0,89,4.15,1.91,10.1,57.3,99.03,-22.14,9
FMR_mfi13<20_pb<=0.25_none_none_h4_mid0_s0.07,mean_rev,14.42,2,820,54.75609756097561,2.2913601416900393,1.057459186776466,853928.8360362006,100.0,-50.0,90,2.59,2.73,1.1,61.1,20.48,-23.18,1
FMR_mfi13<30_pb<=0.25_none_both_h2_mid0_s0.1,mean_rev,14.35,1,752,54.38829787234043,1.2570155654468376,0.7459517856800657,10461.040208050686,81.3989239046887,-50.0,90,4.9,1.64,8.9,57.8,81.4,-24.72,8
FMR_mfi13<30_pb<=0.25_none_both_h2_mid1_s0.1,mean_rev,14.35,1,752,54.38829787234043,1.2570155654468376,0.7459517856800657,10461.040208050686,81.3989239046887,-50.0,90,4.9,1.64,8.9,57.8,81.4,-24.72,8
FMR_mfi14<30_pb<=0.15_none_none_h3_mid1_s0.07,mean_rev,14.32,2,1271,57.04169944925256,2.116836958258894,1.6025609994344991,235455499.4159465,100.0,-50.0,91,2.31,2.32,4.4,60.4,37.4,-18.49,4
FSQ_mfi6>=45_brk0_mup0_h3_s0.12,squeeze_break,14.25,1,1961,46.60887302396736,1.6522647078963786,-0.5813910784740473,633760105.1489819,100.0,-50.0,90,4.82,2.26,12.2,62.2,76.82,-30.02,11
FMR_mfi6<20_pb<=0.15_none_none_h3_mid1_s0.1,mean_rev,14.24,2,1904,53.36134453781513,1.0006087931914898,0.7513114911162244,6.072364684230269,84.1765391954588,-50.0,91,3.19,1.99,7.7,60.4,39.8,-19.4,7
FMR_mfi6<25_pb<=0.15_none_none_h3_mid1_s0.07,mean_rev,14.2,2,2192,53.37591240875912,1.0705051617038308,0.7874027032650277,684.6884182373346,100.0,-50.0,91,2.85,1.98,6.6,61.5,50.84,-18.0,6
FMR_mfi13<30_pb<=0.25_none_none_h2_mid1_s0.07,mean_rev,14.19,2,1939,52.55286230015472,1.0688872592704546,0.5328596802841812,117625.39652647372,100.0,-50.0,91,2.43,2.39,6.6,67.0,31.5,-22.05,6
FMR_mfi13<30_pb<=0.25_none_none_h2_mid0_s0.07,mean_rev,14.19,2,1939,52.55286230015472,1.0688872592704546,0.5328596802841812,117625.39652647372,100.0,-50.0,91,2.43,2.39,6.6,67.0,31.5,-22.05,6
FMR_mfi6<25_pb<=0.0_none_none_h3_mid1_s0.07,mean_rev,14.17,1,1043,53.97890699904123,1.0668101135207562,0.7874038317269072,-75.45386811431139,100.0,-50.0,91,3.97,2.29,8.8,57.1,51.58,-26.02,8
FMR_mfi14<25_pb<=0.25_none_none_h4_mid0_s0.1,mean_rev,14.16,1,1086,56.44567219152854,2.687005834588158,1.8622372804713794,2661717120.9780498,100.0,-50.0,91,3.02,2.2,5.5,58.2,105.88,-20.99,5
FMR_mfi6<30_pb<=0.25_none_none_h3_mid0_s0.1,mean_rev,14.12,1,3038,53.02830809743252,1.3428739833902323,0.7513114911162244,7729496.878626906,100.0,-50.0,91,3.37,2.35,9.9,56.0,55.02,-22.31,9
FWALK_mfi6>=55_pb>=0.85_mup0_h2,band_walk,14.04,2,3293,49.46856969328879,1.8415441442871783,-0.06285355122563896,7.813535793231992e+17,100.0,-50.0,91,4.41,2.33,8.8,57.1,116.25,-27.88,8
FMR_mfi14<25_pb<=0.25_none_none_h3_mid0_s0.1,mean_rev,13.99,1,1103,56.66364460562103,1.9950109752528133,1.541870046002658,8076624.143981501,100.0,-50.0,90,2.78,2.81,5.6,61.1,48.51,-28.06,5
FMR_mfi6<25_pb<=0.25_bw40_none_h4_mid1_s0.07,mean_rev,13.98,1,1082,53.23475046210721,1.0991937868177362,0.896313658670489,6546.435980035837,100.0,-50.0,89,3.25,2.15,9.0,65.2,38.25,-24.98,8
FSQ_mfi6>=55_brk1_mup1_h2_s0.12,squeeze_break,13.98,1,887,45.095828635851184,1.4906962701193291,-0.8588956926057767,65078.506736108444,100.0,-34.57364341085272,90,5.32,2.12,12.2,60.0,98.67,-31.25,11
FMR_mfi14<30_pb<=0.25_none_none_h3_mid1_s0.07,mean_rev,13.93,2,1641,55.393053016453386,1.7781784715126263,1.155026356963651,628635754.4218441,100.0,-50.0,91,3.06,2.32,6.6,59.3,63.91,-23.72,6
FMR_mfi13<30_pb<=0.25_none_none_h4_mid0_s0.07,mean_rev,13.91,2,1815,55.04132231404959,2.7058299008126574,1.5472312703582958,283756802436757.4,100.0,-50.0,91,2.72,2.13,3.3,64.8,67.63,-22.47,3
FMR_mfi14<25_pb<=0.15_none_none_h3_mid0_s0.07,mean_rev,13.9,1,853,57.91324736225087,2.495426136753874,1.8209542880269103,13987303.273809195,100.0,-50.0,90,3.93,1.41,6.7,53.3,87.01,-17.99,6
FMR_mfi6<25_pb<=0.0_none_none_h4_mid1_s0.1,mean_rev,13.85,2,1025,56.39024390243902,2.0425986707621226,1.3453019526933785,194109.64613958748,100.0,-50.0,91,3.34,1.55,5.5,64.8,76.27,-21.27,5
FSQ_mfi6>=45_brk0_mup0_h3_s0.08,squeeze_break,13.81,1,1961,46.55787863335033,1.6769201601213788,-0.5826682644048509,1233365817.4709008,100.0,-50.0,90,4.58,2.26,11.1,62.2,76.82,-30.74,10
FMR_mfi13<30_pb<=0.25_none_none_h3_mid0_s0.07,mean_rev,13.8,1,1850,53.891891891891895,2.0469620984806856,0.9116981841635896,36420720382.7102,100.0,-50.0,91,3.81,2.92,8.8,59.3,64.8,-34.28,8
